code,name,city,country,timezone,city_code
ARW,Arad,Arad,RO,Europe/Bucharest,ARW
ARX,Asbury Park,Shark River Hills,US,America/New_York,ARX
ARY,Ararat,Ararat,AU,Australia/Melbourne,ARY
ARZ,N'zeto,,AO,Africa/Luanda,ARZ
ASA,Assab International,,ER,Africa/Asmara,ASA
ASB,Ashgabat Airport,Ashgabat,TM,Asia/Ashgabat,ASB
ASC,Ascension,,BO,America/La_Paz,ASC
ASD,Andros Town,,BS,America/Nassau,ASD
ASE,Aspen Airport,Aspen,US,America/Denver,ASE
ASF,Astrakhan Airport,Yaksatovo,RU,Europe/Volgograd,ASF
ASG,Ashburton,Ashburton,NZ,Pacific/Auckland,ASG
ASH,Boire Field,Nashua,US,America/New_York,ASH
ASI,Saint Helena Airport,,SH,Atlantic/St_Helena,ASI
ASJ,Amami Airport,,JP,Asia/Tokyo,ASJ
ASK,Yamoussoukro,Yamoussoukro,CI,Africa/Abidjan,ASK
ASL,Harrison County,Marshall,US,America/Chicago,ASL
ASM,Asmara International Airport,Asmara,ER,Africa/Asmara,ASM
ASN,Talladega,Talladega,US,America/Chicago,ASN
ASO,Asosa Airport,,ET,Africa/Addis_Ababa,ASO
ASP,Alice Springs Airport,,AU,Australia/Darwin,ASP
ASQ,Austin,,US,America/Los_Angeles,ASQ
ASR,Kayseri Airport,Kayseri,TR,Europe/Istanbul,ASR
ASS,Arathusa Safari Lodge,,ZA,Africa/Johannesburg,ASS
AST,Astoria,Warrenton,US,America/Los_Angeles,AST
ASU,Silvio Pettirossi International Airport,Limpio,PY,America/Asuncion,ASU
ASV,Amboseli,Namanga,KE,Africa/Nairobi,ASV
ASW,Aswan Airport,Aswan,EG,Africa/Cairo,ASW
ASX,Ashland,Ashland,US,America/Chicago,ASX
ASY,Ashley,Ashley,US,America/Chicago,ASY
ASZ,Asirim,,PG,Pacific/Port_Moresby,ASZ
ATA,Anta,Anta,PE,America/Lima,ATA
ATB,Atbara,Atbara,SD,Africa/Khartoum,ATB
ATC,Arthur's Town,,BS,America/Nassau,ATC
ATD,Atoifi,,SB,Pacific/Guadalcanal,ATD
ATE,Antlers,Antlers,US,America/Chicago,ATE
ATF,Chachoan,San Miguel de Salcedo,EC,America/Guayaquil,ATF
ATG,Attock,Akora,PK,Asia/Karachi,ATG
ATH,Eleftherios Venizelos International Airport,Spata,GR,Europe/Athens,ATH
ATI,Artigas,Artigas,UY,America/Montevideo,ATI
ATJ,Antsirabe,Antsirabe,MG,Indian/Antananarivo,ATJ
ATK,Atqasuk Edward Burnell Sr. Memorial Airport,,US,America/Anchorage,ATK
ATL,Hartsfield-Jackson Atlanta International Airport,,US,America/New_York,ATL
ATM,Altamira Airport,Altamira,BR,America/Santarem,ATM
ATN,Namatanai,,PG,Pacific/Port_Moresby,ATN
ATO,Ohio University,Athens,US,America/New_York,ATO
